id_num,date,time,morn_aft,run_time,run_type,instructor,miles,kcal,mile_time,mile_time_secs,avg_speed,strive_score,avg_bpm
5,10/18/2022,5:45:00 PM,Afternoon,30,Music,Olivia Amato ,3.16,340,0:09:17,557,6.5,60,168
6,10/17/2022,6:00:00 PM,Afternoon,20,HIIT,Robin Arzon ,1.98,219,0:09:36,576,6.3,36.1,165
7,10/15/2022,5:30:00 PM,Afternoon,30,Music,Robin Arzon ,3.12,341,0:09:22,562,6.4,57.9,170
9,10/11/2022,6:00:00 PM,Afternoon,30,Music,Jess Sims,3.01,349,0:09:40,580,6.2,59.4,172
10,10/10/2022,5:45:00 PM,Afternoon,30,Theme,Robin Arzon ,2.94,337,0:09:51,591,6.1,57.6,166
11,10/8/2022,4:30:00 PM,Afternoon,45,Music,Robin Arzon ,4.02,495,0:10:46,646,5.6,80.6,166
14,10/3/2022,5:45:00 PM,Afternoon,30,Music,Matty Maggiacomo,2.92,338,0:10:10,610,5.9,59.4,168
17,9/27/2022,6:45:00 PM,Afternoon,30,Music,Jess Sims,2.93,330,0:09:55,595,6,57,166
18,9/25/2022,12:30:00 PM,Afternoon,30,Music,Selena Samuela,2.79,336,0:10:22,622,5.8,56.9,167
22,9/18/2022,6:00:00 PM,Afternoon,20,Music,Matty Maggiacomo,1.93,218,0:10:53,653,5.5,35.6,165
27,9/12/2022,6:00:00 PM,Afternoon,30,Music,Matty Maggiacomo,2.76,315,0:11:45,705,5.1,49.6,162
32,9/1/2022,4:30:00 PM,Afternoon,30,HIIT,Robin Arzon,2.65,347,0:11:14,674,5.3,58.5,171
34,8/17/2022,2:15:00 PM,Afternoon,30,Music,Robin Arzon,2.54,315,0:11:48,708,5.1,48.1,162
35,8/16/2022,12:30:00 PM,Afternoon,30,Music,Olivia Amato,2.38,281,0:12:27,747,4.8,39.3,152
36,7/10/2022,2:15:00 PM,Afternoon,30,Music,Robin Arzon,2.66,298,0:11:16,676,5.3,40,157
37,7/1/2022,3:15:00 PM,Afternoon,30,HIIT,Robin Arzon,2.46,323,0:12:01,721,5,50.3,165
38,6/29/2022,7:15:00 PM,Afternoon,30,HIIT,Robin Arzon,2.08,298,0:14:19,859,4.2,43,157
39,6/27/2022,7:15:00 PM,Afternoon,30,Theme,Robin Arzon,2.4,297,0:12:28,748,4.8,42.7,157
40,6/20/2022,6:00:00 PM,Afternoon,30,Music,Olivia Amato,2.23,278,0:13:18,798,4.5,32.6,151
41,6/17/2022,5:45:00 PM,Afternoon,30,Theme,Robin Arzon,2.29,300,0:12:52,772,4.7,41.5,158
42,6/15/2022,7:00:00 PM,Afternoon,20,Music,Robin Arzon,1.54,194,0:12:55,775,4.6,25.4,154
1,11/1/2022,9:00:00 AM,Morning,30,Walk + Run,Jess Sims,2.41,272,0:11:21,681,5.3,36,149
2,10/27/2022,10:00:00 AM,Morning,20,Music,Matty Maggiacomo,1.99,228,0:09:45,585,6.2,39.4,170
4,10/20/2022,9:15:00 AM,Morning,30,Music,Rebecca Kennedy,2.75,316,0:10:07,607,5.9,52.5,162
8,10/13/2022,11:00:00 AM,Morning,30,Theme,Matty Maggiacomo,2.96,339,0:09:54,594,6.1,56,168
12,10/7/2022,9:45:00 AM,Morning,20,HIIT,Robin Arzon ,1.77,207,0:09:47,587,6.1,30.8,159
13,10/4/2022,9:00:00 AM,Morning,30,Music,Robin Arzon ,2.93,335,0:10:04,604,6,56,167
15,9/30/2022,9:00:00 AM,Morning,30,Theme,Olivia Amato,2.68,332,0:10:45,645,5.6,55.7,167
16,9/28/2022,8:45:00 AM,Morning,30,Walk + Run ,Rebecca Kennedy,2.24,254,0:11:29,689,5.2,27.9,144
20,9/21/2022,9:00:00 AM,Morning,30,Endurance,Matt Wilpers,2.72,329,0:11:18,678,5.3,53.9,165
21,9/20/2022,9:00:00 AM,Morning,20,HIIT,Robin Arzon,1.38,197,0:11:37,697,5.2,24.1,159
24,9/15/2022,10:15:00 AM,Morning,15,Walk + Run ,Jess Sims,0.61,85,0:14:25,865,4.2,12.1,179
25,9/15/2022,9:45:00 AM,Morning,20,HIIT,Robin Arzon,1.5,207,0:10:58,658,5.5,27.7,163
26,9/13/2022,8:45:00 AM,Morning,30,Intervals,Robin Arzon,2.25,299,0:10:42,642,5.6,47,169
28,9/8/2022,10:00:00 AM,Morning,30,Music,Kristen Ferguson,2.59,296,0:11:28,688,5.2,44.9,156
29,9/5/2022,8:30:00 AM,Morning,30,Music,Jess Sims,2.45,3.31,0:12:14,734,4.9,55.6,166
30,9/3/2022,11:15:00 AM,Morning,20,HIIT,Robin Arzon,1.6,239,0:12:07,727,5,40.7,175
31,9/3/2022,11:00:00 AM,Morning,20,Music,Olivia Amato,1.62,170,0:12:21,741,4.9,20,144
3,10/25/2022,8:45:00 AM,Morning ,30,Walk + Run ,Matty Maggiacomo,2.54,264,0:11:00,660,5.5,37.4,147
19,9/23/2022,8:45:00 AM,Morning ,30,Music,Jess Sims,2.69,312,0:10:15,615,5.8,47.1,159
23,9/16/2022,9:00:00 AM,Morning ,20,Music,Robin Arzon,1.79,174,0:11:21,681,5.3,21.9,146
33,8/19/2022,10:15:00 AM,Morning ,30,Music,Olivia Amato ,2.42,294,0:12:13,733,4.9,40.4,156
